id,speaker,season,count
0,(Pam's mom) Heleen,6,1
1,3rd Athlead Employee,9,1
2,4th Athlead Employee,9,1
3,A.J.,5,8
4,AJ,5,8
5,AJ,7,15
6,Aaron Rodgers,9,4
7,Abby,2,19
8,Actor,2,3
9,Actress,2,1
10,Ad guy 1,4,12
11,Ad guy 2,4,6
12,Air Force recruiter,4,2
13,Alan,3,8
14,Alan,6,12
15,Albiny,2,2
16,Alex,5,10
17,Alice,9,19
18,All,2,1
19,All,3,1
20,All,4,7
21,All,5,2
22,All,6,2
23,All,7,18
24,All,8,15
25,All,9,16
26,All Girls,4,1
27,All but Oscar,7,1
28,All the Men,2,1
29,Alonzo,8,1
30,Alyssa,2,1
31,Amanda,8,1
32,Amy,4,3
33,Andy,3,391
34,Andy,4,223
35,Andy,5,497
36,Andy,6,538
37,Andy,7,557
38,Andy,8,1125
39,Andy,9,637
40,Andy & Erin,6,2
41,Andy & Erin,8,1
42,Andy & Michael,3,2
43,Andy & Michael,6,1
44,Andy & Walter,8,3
45,Andy and Darryl,8,3
46,Andy and Dwight,6,5
47,Andy and Erin,7,1
48,Andy and Jim,3,4
49,Andy and Michael,3,1
50,"Andy, Creed, Kevin, Kelly",4,5
51,"Andy, Creed, Kevin, Kelly, Darryl",4,1
52,"Andy, Darryl & Officer Foley",8,1
53,Andy/Oscar,8,1
54,Andy/Pam,8,1
55,Andy/Stanley,8,1
56,Angel,7,1
57,Angela,1,32
58,Angela,2,162
59,Angela,3,243
60,Angela,4,193
61,Angela,5,221
62,Angela,6,136
63,Angela,7,161
64,Angela,8,166
65,Angela,9,381
66,Angela & Oscar,9,3
67,Angela and Dwight,4,1
68,Angela and Kelly,5,1
69,Angela/Pam,8,1
70,Angels,4,1
71,Anglea,2,1
72,Announcer,3,1
73,Announcer,8,4
74,Another guy,7,1
75,Archivist,8,2
76,Artist,3,1
77,Astrid,7,3
78,Athlead Coworker,9,1
79,Athlead Employee,9,10
80,Attendant,7,6
81,Audience,7,2
82,Audience,8,1
83,Audience,9,1
84,Aunt Shirley,9,3
85,Automated phone voice,5,1
86,Ballerinas,9,2
87,Bar Manager,6,22
88,Barbara,3,14
89,Barbara Allen,3,4
90,Bartender,3,1
91,Bartender,4,7
92,Bartender,9,4
93,Bass Player,7,2
94,Ben,4,4
95,Ben Franklin,3,24
96,Bert,8,23
97,Beth,5,4
98,Bill,2,8
99,Bill Cress,4,1
100,Bill Hader,9,4
101,Billy,2,4
