,word,frequency,character,season,order
0,know,140,Michael,1,1
1,right,94,Michael,1,2
2,going,60,Michael,1,3
3,good,59,Michael,1,4
4,come,56,Michael,1,5
5,go,56,Michael,1,6
6,pam,49,Michael,1,7
7,let,47,Michael,1,8
8,get,47,Michael,1,9
9,think,43,Michael,1,10
0,know,272,Michael,2,1
1,good,142,Michael,2,2
2,right,139,Michael,2,3
3,go,120,Michael,2,4
4,get,111,Michael,2,5
5,yes,111,Michael,2,6
6,dwight,111,Michael,2,7
7,would,110,Michael,2,8
8,one,109,Michael,2,9
9,think,105,Michael,2,10
0,know,229,Michael,3,1
1,good,123,Michael,3,2
2,right,121,Michael,3,3
3,going,113,Michael,3,4
4,get,111,Michael,3,5
5,go,109,Michael,3,6
6,let,100,Michael,3,7
7,want,98,Michael,3,8
8,one,98,Michael,3,9
9,would,94,Michael,3,10
0,know,167,Michael,4,1
1,going,103,Michael,4,2
2,good,102,Michael,4,3
3,right,96,Michael,4,4
4,get,95,Michael,4,5
5,would,89,Michael,4,6
6,go,85,Michael,4,7
7,think,83,Michael,4,8
8,want,77,Michael,4,9
9,yes,75,Michael,4,10
0,know,160,Michael,5,1
1,going,145,Michael,5,2
2,want,132,Michael,5,3
3,go,131,Michael,5,4
4,right,124,Michael,5,5
5,good,111,Michael,5,6
6,get,110,Michael,5,7
7,think,109,Michael,5,8
8,would,94,Michael,5,9
9,yes,86,Michael,5,10
0,know,184,Michael,6,1
1,go,126,Michael,6,2
2,right,111,Michael,6,3
3,going,108,Michael,6,4
4,think,107,Michael,6,5
5,would,97,Michael,6,6
6,yes,84,Michael,6,7
7,get,82,Michael,6,8
8,jim,80,Michael,6,9
9,--,79,Michael,6,10
0,know,163,Michael,7,1
1,go,88,Michael,7,2
2,right,85,Michael,7,3
3,good,74,Michael,7,4
4,would,70,Michael,7,5
5,yes,65,Michael,7,6
6,going,64,Michael,7,7
7,get,61,Michael,7,8
8,gon,54,Michael,7,9
9,think,50,Michael,7,10
0,said,1,Michael,9,1
1,feel,1,Michael,9,2
2,kids,1,Michael,9,3
3,grew,1,Michael,9,4
4,married,1,Michael,9,5
5,every,1,Michael,9,6
6,parent���s,1,Michael,9,7
7,dream,1,Michael,9,8
0,jim,28,Dwight,1,1
1,know,25,Dwight,1,2
2,ok,20,Dwight,1,3
3,one,16,Dwight,1,4
4,good,15,Dwight,1,5
5,think,14,Dwight,1,6
6,could,13,Dwight,1,7
7,please,13,Dwight,1,8
8,michael,13,Dwight,1,9
9,going,12,Dwight,1,10
0,michael,83,Dwight,2,1
1,know,60,Dwight,2,2
2,go,45,Dwight,2,3
3,get,43,Dwight,2,4
4,one,42,Dwight,2,5
5,would,38,Dwight,2,6
6,good,38,Dwight,2,7
7,going,35,Dwight,2,8
8,yes,35,Dwight,2,9
9,come,35,Dwight,2,10
0,michael,62,Dwight,3,1
1,jim,42,Dwight,3,2
2,know,39,Dwight,3,3
3,get,33,Dwight,3,4
4,one,33,Dwight,3,5
5,would,30,Dwight,3,6
6,let,29,Dwight,3,7
7,good,27,Dwight,3,8
8,come,26,Dwight,3,9
9,yes,24,Dwight,3,10
0,know,29,Dwight,4,1
1,michael,26,Dwight,4,2
2,go,25,Dwight,4,3
3,right,22,Dwight,4,4
4,come,22,Dwight,4,5
5,got,21,Dwight,4,6
6,let,19,Dwight,4,7
7,say,19,Dwight,4,8
8,one,18,Dwight,4,9
9,yes,18,Dwight,4,10
